"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp1","shift_removed","12 squares",2,18,2,2.82842712474619,16,20
"exp1","shift_removed","12 squares",5,14.6666666666667,3,1.15470053837925,14,16
"exp1","shift_removed","12 squares",6,14,2,0,14,14
"exp1","shift_removed","12 squares",7,15.25,4,1.25830573921179,14,17
"exp1","shift_removed","12 squares",8,14,1,NA,14,14
"exp1","shift_removed","12 squares",9,17.3333333333333,3,2.08166599946613,15,19
"exp1","shift_removed","12 squares",10,14.5,2,0.707106781186548,14,15
"exp1","shift_removed","12 squares",11,17.5,10,3.34165627596057,14,23
"exp1","shift_removed","12 squares",12,16.7857142857143,14,1.84718377864465,14,21
"exp1","shift_removed","12 squares",13,19.1428571428571,14,5.77603993776336,14,32
"exp1","shift_removed","12 squares",14,17.8666666666667,15,4.51769009666708,14,31
"exp1","shift_removed","12 squares",15,17.7666666666667,30,3.7663055467214,14,28
"exp1","shift_removed","12 squares",16,17.3103448275862,29,3.30695639389651,14,26
"exp1","shift_removed","12 squares",17,19.9756097560976,41,4.35021726398837,14,30
"exp1","shift_removed","12 squares",18,20.6756756756757,37,5.16426855127323,14,32
"exp1","shift_removed","12 squares",19,20.3548387096774,31,5.05007186151362,14,34
"exp1","shift_removed","12 squares",20,20.0833333333333,36,4.17731971484108,14,31
"exp1","shift_removed","12 squares",21,21.8695652173913,46,3.96993532358274,14,33
"exp1","shift_removed","12 squares",22,23.8478260869565,46,4.70445364075054,14,33
"exp1","shift_removed","12 squares",23,22.7391304347826,46,5.28912839956199,15,34
"exp1","shift_removed","12 squares",24,24.4047619047619,42,4.16172761857336,17,35
"exp1","shift_removed","12 squares",25,26.1076923076923,65,4.86737569475032,14,36
"exp1","shift_removed","12 squares",26,25.828125,64,5.01918442593887,14,36
"exp1","shift_removed","12 squares",27,27.2708333333333,48,5.18483707178855,16,36
"exp1","shift_removed","12 squares",28,26.921568627451,51,5.67395148817789,14,35
"exp1","shift_removed","12 squares",29,28.8510638297872,47,4.34380480086423,16,36
"exp1","shift_removed","12 squares",30,29.03125,32,4.94149236306134,17,36
"exp1","shift_removed","12 squares",31,28.5925925925926,27,5.88517864090187,16,36
"exp1","shift_removed","12 squares",32,30.7407407407407,27,5.35359399478226,14,36
"exp1","shift_removed","12 squares",33,30.4848484848485,33,4.34540858350233,18,36
"exp1","shift_removed","12 squares",34,32.2592592592593,27,2.66880256341812,26,36
