"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"experience.6667a6558073abc1cd0e6daf","experience","10",2,7,5,3.14285714285714,-3,0.0714285714285716
"experience.6667a6558073abc1cd0e6daf","experience","20",2,11,8,1.63636363636364,-8.625,-3.49431818181818
"experience.668ebf594982c57c983cd910","experience","2",2,10,4,-5.2,7.75,1.275
"experience.668ebf594982c57c983cd910","experience","10",2,9,9,-3.33333333333333,6.44444444444444,1.55555555555556
"experience.668ebf594982c57c983cd910","experience","20",2,8,10,-2.875,4.7,0.9125
"experience.66a6bbb40b48d0e4f326767e","experience","2",2,10,7,0.3,2.14285714285714,1.22142857142857
"experience.66a6bbb40b48d0e4f326767e","experience","10",2,9,11,4.33333333333333,-1.18181818181818,1.57575757575758
"experience.66a6bbb40b48d0e4f326767e","experience","20",2,11,6,1.72727272727273,-3.83333333333333,-1.0530303030303
"experience.66a926551ab3748f5d5348aa","experience","2",2,6,4,-4.5,10.75,3.125
"experience.66a926551ab3748f5d5348aa","experience","10",2,6,8,1.66666666666667,6.625,4.14583333333333
"experience.66a926551ab3748f5d5348aa","experience","20",2,10,8,1.1,4.375,2.7375
"experience.66d804534578af1dec99f245","experience","2",2,9,5,-5.66666666666667,7.6,0.966666666666666
"experience.66d804534578af1dec99f245","experience","10",2,10,4,-4.2,5.5,0.65
"experience.66d804534578af1dec99f245","experience","20",2,9,7,-3.11111111111111,4.42857142857143,0.658730158730159
"experience.66e5312010b7e7f8074c81a7","experience","2",2,5,7,-5,2.14285714285714,-1.42857142857143
"experience.66e5312010b7e7f8074c81a7","experience","10",2,7,8,5.57142857142857,1.125,3.34821428571429
"experience.66e5312010b7e7f8074c81a7","experience","20",2,9,8,3.11111111111111,-6.125,-1.50694444444444
"experience.67164c92298409e37c670b3d","experience","2",2,8,10,-9.75,0.3,-4.725
"experience.67164c92298409e37c670b3d","experience","10",2,9,1,-4.55555555555556,0,-2.27777777777778
"experience.67164c92298409e37c670b3d","experience","20",2,5,5,-10.4,-1.2,-5.8
"experience.672268205351c30413c9837e","experience","2",2,10,8,-4.3,8.375,2.0375
"experience.672268205351c30413c9837e","experience","10",2,8,9,-2,4.11111111111111,1.05555555555556
"experience.672268205351c30413c9837e","experience","20",2,11,10,-4.54545454545455,6.9,1.17727272727273
"experience.67322550bd5dfa0cd2958366","experience","2",2,7,8,-0.285714285714286,-0.125,-0.205357142857143
"experience.67322550bd5dfa0cd2958366","experience","10",2,7,7,2.57142857142857,-0.857142857142857,0.857142857142857
"experience.67322550bd5dfa0cd2958366","experience","20",2,6,9,2.33333333333333,-0.111111111111111,1.11111111111111
"experience.67f054713cbdd6e7fdab28d4","experience","2",2,6,9,1.33333333333333,2.88888888888889,2.11111111111111
"experience.67f054713cbdd6e7fdab28d4","experience","10",2,9,6,5.66666666666667,-0.666666666666667,2.5
"experience.67f054713cbdd6e7fdab28d4","experience","20",2,5,10,6.2,-0.6,2.8
"experience.68423451060859f8ce31ee5a","experience","2",2,8,3,-0.875,3.33333333333333,1.22916666666667
"experience.68423451060859f8ce31ee5a","experience","10",2,6,12,-3.16666666666667,8.16666666666667,2.5
"experience.68423451060859f8ce31ee5a","experience","20",2,7,6,2,8.5,5.25
