"participant_id","condition","array_length","n_trials","r","z"
"experience.65465ac216a26bebcc8d8b02","experience","20",31,0.82525704920592,1.17308003174077
"experience.656a02c7b6729e5b80412a8f","experience","2",32,0.8164917868573,1.1462014527382
"experience.656a02c7b6729e5b80412a8f","experience","10",31,0.873711966323936,1.34855573571231
"experience.656a02c7b6729e5b80412a8f","experience","20",32,0.928560249789425,1.64783728943965
"experience.657f8d99678be2d216a85c3d","experience","2",31,0.793404354883988,1.08055374457712
"experience.657f8d99678be2d216a85c3d","experience","10",32,0.912124719309859,1.54002588846246
"experience.657f8d99678be2d216a85c3d","experience","20",30,0.78586860544691,1.06053518485379
"experience.65fb1a5882c2d4825dab5e81","experience","2",29,0.742301648238712,0.955586291381499
"experience.65fb1a5882c2d4825dab5e81","experience","10",30,0.78067169904056,1.0470881163378
"experience.65fb1a5882c2d4825dab5e81","experience","20",31,0.748521433100813,0.969584024794927
"experience.6643b0fe98e091c70e7988e4","experience","2",31,0.827621644547547,1.18053947542226
"experience.6643b0fe98e091c70e7988e4","experience","10",32,0.87580329352584,1.35746280932246
"experience.6643b0fe98e091c70e7988e4","experience","20",31,0.679430248926334,0.828054996297944
"experience.66562875b665d8e2b1b6fc66","experience","2",32,0.841604487446604,1.22664866276804
"experience.66562875b665d8e2b1b6fc66","experience","10",31,0.740625950973258,0.951864422440147
"experience.66562875b665d8e2b1b6fc66","experience","20",30,0.820373767031066,1.15795945849165
"experience.6667a6558073abc1cd0e6daf","experience","2",32,0.87806115468777,1.36723778592279
"experience.6667a6558073abc1cd0e6daf","experience","10",30,0.802319626404971,1.10508917200335
"experience.6667a6558073abc1cd0e6daf","experience","20",32,0.846833498630618,1.24485112764156
"experience.668ebf594982c57c983cd910","experience","2",29,0.630056798587239,0.74151032739677
"experience.668ebf594982c57c983cd910","experience","10",31,0.847690619105968,1.24788898571954
"experience.668ebf594982c57c983cd910","experience","20",31,0.885575325874652,1.40103576368822
"experience.66a6bbb40b48d0e4f326767e","experience","2",30,0.848606202591591,1.25115142909632
"experience.66a6bbb40b48d0e4f326767e","experience","10",31,0.89255078400694,1.43433124636048
"experience.66a6bbb40b48d0e4f326767e","experience","20",31,0.84648138736288,1.24360766982264
"experience.66a926551ab3748f5d5348aa","experience","2",29,0.676126274382417,0.821943458418385
"experience.66a926551ab3748f5d5348aa","experience","10",32,0.70891407437551,0.884997451449981
