"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"67d8b5e7ceb82869824198a2",110,"average",8,8,15,5.47722557505166,7,23,0,0
"67d8b5e7ceb82869824198a2",111,"average",8,8,29,5.47722557505166,21,37,0,0
"67d8b5e7ceb82869824198a2",112,"average",6,6,24,4.32049379893857,18,30,0,0
"67d8b5e7ceb82869824198a2",113,"average",2,2,24,4,20,28,0,0
"67d8b5e7ceb82869824198a2",114,"average",8,8,35,5.47722557505166,27,43,0,0
"67d8b5e7ceb82869824198a2",115,"average",12,12,30.3333333333333,5.45180907793204,21,39,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",116,"average",12,12,29.3333333333333,5.45180907793204,20,38,-0.206282093856245,0
"66ba25f31c96638d878c9235",1,"average",9,9,11.5555555555556,5.1448164012401,3,19,-0.179160025855761,0
"66ba25f31c96638d878c9235",2,"average",3,3,35.6666666666667,8.73053390247253,29,48,0.70015544007878,0
"66ba25f31c96638d878c9235",3,"average",9,9,12,5.67646212197547,3,19,-0.346257439782808,0
"66ba25f31c96638d878c9235",4,"average",7,7,38.1428571428571,5.76760835376753,31,48,0.556342255763089,0
"66ba25f31c96638d878c9235",5,"average",4,4,6.5,2.29128784747792,4,10,0.49878374911084,0
"66ba25f31c96638d878c9235",6,"average",5,5,42,6.06630035524124,31,48,-0.88693840850792,0
"66ba25f31c96638d878c9235",7,"average",7,7,41.1428571428571,4.51753951452626,36,48,0.436584053762844,0
"66ba25f31c96638d878c9235",8,"average",2,2,9,1,8,10,0,0
"66ba25f31c96638d878c9235",9,"average",9,9,36.5555555555556,5.75637059866161,30,48,0.921792026476716,0
"66ba25f31c96638d878c9235",10,"average",4,4,6.75,3.2691742076555,2,11,-0.206608321731383,0
"66ba25f31c96638d878c9235",11,"average",8,8,10.875,4.2555111326373,6,19,0.758038492182539,0
"66ba25f31c96638d878c9235",12,"average",5,5,40.2,4.2614551505325,36,48,0.947123272554744,0
"66ba25f31c96638d878c9235",13,"average",3,3,6.66666666666667,5.24933858267454,2,14,0.630903856710624,0
"66ba25f31c96638d878c9235",14,"average",2,2,11.5,7.5,4,19,0,0
"66ba25f31c96638d878c9235",15,"average",8,8,10,4.74341649025257,3,16,-0.126491106406735,0
"66ba25f31c96638d878c9235",16,"average",6,6,10.5,6.70198975429437,3,20,0.139520496053546,0
"66ba25f31c96638d878c9235",17,"average",4,4,15,6.96419413859206,3,20,-1.11912653178353,0
"66ba25f31c96638d878c9235",18,"average",5,5,39.6,4.8,33,45,-0.25217013888889,0
"66ba25f31c96638d878c9235",19,"average",4,4,40.25,5.21416340365355,35,48,0.439783579983145,0
"66ba25f31c96638d878c9235",20,"average",7,7,35.7142857142857,5.46976849116476,29,44,0.217955343421495,0
"66ba25f31c96638d878c9235",21,"average",8,8,23,5.47722557505166,15,31,0,0
"66ba25f31c96638d878c9235",22,"average",2,2,35,4,31,39,0,0
"66ba25f31c96638d878c9235",23,"average",6,6,27,4.32049379893857,21,33,0,0
"66ba25f31c96638d878c9235",24,"average",8,8,29,5.47722557505166,21,37,0,0
"66ba25f31c96638d878c9235",25,"average",12,12,24.3333333333333,5.45180907793204,15,33,-0.206282093856245,0
"66ba25f31c96638d878c9235",26,"average",8,8,34,5.47722557505166,26,42,0,0
"66ba25f31c96638d878c9235",27,"average",8,8,20,5.47722557505166,12,28,0,0
"66ba25f31c96638d878c9235",28,"average",8,8,20,5.47722557505166,12,28,0,0
"66ba25f31c96638d878c9235",29,"average",12,12,20.3333333333333,5.45180907793204,11,29,-0.206282093856245,0
"66ba25f31c96638d878c9235",30,"average",2,2,14,4,10,18,0,0
"66ba25f31c96638d878c9235",31,"average",12,12,30.3333333333333,5.45180907793204,21,39,-0.206282093856245,0
"66ba25f31c96638d878c9235",32,"average",2,2,32,4,28,36,0,0
"66ba25f31c96638d878c9235",33,"average",8,8,20,5.47722557505166,12,28,0,0
"66ba25f31c96638d878c9235",34,"average",8,8,14,5.47722557505166,6,22,0,0
"66ba25f31c96638d878c9235",35,"average",12,12,36.3333333333333,5.45180907793204,27,45,-0.206282093856247,0
"66ba25f31c96638d878c9235",36,"average",8,8,25,5.47722557505166,17,33,0,0
"66ba25f31c96638d878c9235",37,"average",6,6,35,4.32049379893857,29,41,0,0
"66ba25f31c96638d878c9235",38,"average",2,2,18,4,14,22,0,0
"66ba25f31c96638d878c9235",39,"average",6,6,27,4.32049379893857,21,33,0,0
"66ba25f31c96638d878c9235",40,"average",8,8,22,5.47722557505166,14,30,0,0
"66ba25f31c96638d878c9235",41,"average",12,12,36.3333333333333,5.45180907793204,27,45,-0.206282093856247,0
"66ba25f31c96638d878c9235",42,"average",8,8,21,5.47722557505166,13,29,0,0
"66ba25f31c96638d878c9235",43,"average",12,12,30.3333333333333,5.45180907793204,21,39,-0.206282093856245,0
"66ba25f31c96638d878c9235",44,"average",12,12,18.3333333333333,5.45180907793204,9,27,-0.206282093856245,0
"66ba25f31c96638d878c9235",45,"average",12,12,22.3333333333333,5.45180907793204,13,31,-0.206282093856245,0
"66ba25f31c96638d878c9235",46,"average",2,2,22,4,18,26,0,0
"66ba25f31c96638d878c9235",47,"average",2,2,31,4,27,35,0,0
"66ba25f31c96638d878c9235",48,"average",6,6,18,4.32049379893857,12,24,0,0
"66ba25f31c96638d878c9235",49,"average",6,6,18,4.32049379893857,12,24,0,0
"66ba25f31c96638d878c9235",50,"average",6,6,36,4.32049379893857,30,42,0,0
"66ba25f31c96638d878c9235",51,"average",2,2,25,4,21,29,0,0
"66ba25f31c96638d878c9235",52,"average",6,6,15,4.32049379893857,9,21,0,0
"66ba25f31c96638d878c9235",53,"average",2,2,36,4,32,40,0,0
"66ba25f31c96638d878c9235",54,"average",2,2,19,4,15,23,0,0
