"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"56b53292a9d33a000c8981a6",21,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",22,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",23,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",24,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",25,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",26,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",27,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",28,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",29,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",30,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",31,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",32,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",33,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",34,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",35,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",36,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",37,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",38,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",39,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",40,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",41,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",42,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",43,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",44,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",45,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",46,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",47,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",48,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",49,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",50,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",51,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",52,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",53,10,5.9464274989274,10,"experience",10,"short_exposure"
