"participant_id","condition","variance_level","n_trials","r","z"
"average.69c1aaedff8c0b25b7df1d32","average","5",72,0.909472716806844,1.52446557070442
"average.69c1aaedff8c0b25b7df1d32","average","7",71,0.898191483999367,1.46278155324136
"experience.558955ebfdf99b6bd06016c9","experience","3",68,0.931409355194377,1.66892454946108
"experience.558955ebfdf99b6bd06016c9","experience","5",71,0.8639571958939,1.30874372955717
"experience.558955ebfdf99b6bd06016c9","experience","7",71,0.710585891931464,0.888366327645948
"experience.56c79f6cc41c43000c0886b0","experience","3",71,0.78033802527441,1.04623432042895
"experience.56c79f6cc41c43000c0886b0","experience","5",70,0.666852833372102,0.805054131177484
"experience.56c79f6cc41c43000c0886b0","experience","7",70,0.638728418113932,0.756022942689673
"experience.5711c09d28742b0011c585be","experience","3",71,0.797200372524811,1.09088347483433
"experience.5711c09d28742b0011c585be","experience","5",70,0.813989269829258,1.13873967715973
"experience.5711c09d28742b0011c585be","experience","7",69,0.754555857691267,0.983450818110951
"experience.5a5aabd3acc75b00017a5300","experience","3",71,0.569634740677089,0.646981966810918
"experience.5a5aabd3acc75b00017a5300","experience","5",68,0.580727349282761,0.663559470870722
"experience.5a5aabd3acc75b00017a5300","experience","7",71,0.339872719074754,0.353948618177178
"experience.5a792c898fe2dc0001058c3b","experience","3",71,0.853479780087005,1.26882833733507
"experience.5a792c898fe2dc0001058c3b","experience","5",72,0.837145011045217,1.21155392731286
"experience.5a792c898fe2dc0001058c3b","experience","7",68,0.808811643359397,1.12358312773703
"experience.5b0d1b8e444cef0001ca66ac","experience","3",70,0.840401566611537,1.22253910020472
"experience.5b0d1b8e444cef0001ca66ac","experience","5",70,0.828618134682654,1.18371082282367
"experience.5b0d1b8e444cef0001ca66ac","experience","7",71,0.725238082504623,0.918607685331306
"experience.5bb58e338f3bd70001e5df57","experience","3",70,0.744048149376083,0.959487434692851
"experience.5bb58e338f3bd70001e5df57","experience","5",71,0.631439436641591,0.74380647245237
"experience.5bb58e338f3bd70001e5df57","experience","7",70,0.511804284890418,0.565171363073456
"experience.5c223d4a4a7e1f000137e5b9","experience","3",72,0.857136228457715,1.28244969422183
"experience.5c223d4a4a7e1f000137e5b9","experience","5",69,0.799295797160845,1.09665922352554
"experience.5c223d4a4a7e1f000137e5b9","experience","7",71,0.770148822700934,1.02069342919206
"experience.5d0c46b3dff7d70019e6dda7","experience","3",72,0.880395073360248,1.37752157292136
"experience.5d0c46b3dff7d70019e6dda7","experience","5",70,0.879745079719159,1.3746388127454
"experience.5d0c46b3dff7d70019e6dda7","experience","7",70,0.770682755067531,1.0220070473115
"experience.5d4611bb3c5a360001b1bb59","experience","3",71,0.861392581968183,1.29871729003872
"experience.5d4611bb3c5a360001b1bb59","experience","5",72,0.871640997219506,1.3398699081863
"experience.5d4611bb3c5a360001b1bb59","experience","7",70,0.780459455658528,1.04654490170761
"experience.5e991aaac7bc1615ea5b3eb8","experience","3",69,0.792772275339309,1.07885007510427
"experience.5e991aaac7bc1615ea5b3eb8","experience","5",69,0.811978585699814,1.1328094031457
"experience.5e991aaac7bc1615ea5b3eb8","experience","7",71,0.455828011653296,0.492032372988205
"experience.5ebb96b6cd673a0008ace9ce","experience","3",72,0.837999911277844,1.21441818587237
"experience.5ebb96b6cd673a0008ace9ce","experience","5",70,0.798693385768232,1.09499329690385
"experience.5ebb96b6cd673a0008ace9ce","experience","7",72,0.827342150181336,1.17965296185115
"experience.5f16f559325a640008bb9a07","experience","3",68,0.641678373638666,0.761021707661343
