"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.69aa203bc67c0093e96b9875","average","3","middle",37,2.49177769318614,-0.318918918918919
"average.69aa203bc67c0093e96b9875","average","5","extreme",38,7.73757104027675,-0.692105263157894
"average.69aa203bc67c0093e96b9875","average","5","middle",32,2.65139377934272,-1.265625
"average.69aa203bc67c0093e96b9875","average","7","extreme",41,7.72875300583992,0.0707317073170734
"average.69aa203bc67c0093e96b9875","average","7","middle",31,2.6508556716644,-1.43548387096774
"average.69ac80094c5494db959077d6","average","3","extreme",39,8.25571658615137,1.0051282051282
"average.69ac80094c5494db959077d6","average","3","middle",29,2.72348825587206,1.32068965517241
"average.69ac80094c5494db959077d6","average","5","extreme",28,7.89416839199448,3.15
"average.69ac80094c5494db959077d6","average","5","middle",41,2.93990809473312,-0.107317073170731
"average.69ac80094c5494db959077d6","average","7","extreme",37,7.92284893589241,3.63513513513514
"average.69ac80094c5494db959077d6","average","7","middle",33,2.47246376811594,1.28484848484848
"average.69acffd5ce1304cfa474a22f","average","3","extreme",41,7.69146341463415,-2.59268292682927
"average.69acffd5ce1304cfa474a22f","average","3","middle",30,2.86179487179487,0.5
"average.69acffd5ce1304cfa474a22f","average","5","extreme",28,8.24505494505494,-0.392857142857143
"average.69acffd5ce1304cfa474a22f","average","5","middle",42,2.82545787545788,0.288095238095238
"average.69acffd5ce1304cfa474a22f","average","7","extreme",35,8.04274725274725,1.82857142857143
"average.69acffd5ce1304cfa474a22f","average","7","middle",32,2.62139423076923,0.675
"average.69af386aa115c4cb66894fb8","average","3","extreme",39,7.83410642958382,4.42820512820513
"average.69af386aa115c4cb66894fb8","average","3","middle",29,2.58178825160284,2.86551724137931
"average.69af386aa115c4cb66894fb8","average","5","extreme",30,8.01860971524288,3.58333333333333
"average.69af386aa115c4cb66894fb8","average","5","middle",36,2.77934115019542,-1.51111111111111
"average.69af386aa115c4cb66894fb8","average","7","extreme",34,8.02561336092226,6.61470588235294
