"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.69aa203bc67c0093e96b9875","average","5","extreme",33,8.08009674206857,-1.3030303030303
"average.69aa203bc67c0093e96b9875","average","5","middle",37,2.97411496003045,-0.702702702702703
"average.69aa203bc67c0093e96b9875","average","7","extreme",38,7.99851742031134,-0.368421052631579
"average.69aa203bc67c0093e96b9875","average","7","middle",34,2.7848660590997,-0.823529411764706
"average.69ac80094c5494db959077d6","average","3","extreme",39,8.25034064164499,1
"average.69ac80094c5494db959077d6","average","3","middle",29,2.71414292853573,1.31034482758621
"average.69ac80094c5494db959077d6","average","5","extreme",27,8.05439255680801,3.37037037037037
"average.69ac80094c5494db959077d6","average","5","middle",42,2.98320680929377,-0.142857142857143
"average.69ac80094c5494db959077d6","average","7","extreme",35,8.07563837129054,3.77142857142857
"average.69ac80094c5494db959077d6","average","7","middle",35,2.63354037267081,1.28571428571429
"average.69acffd5ce1304cfa474a22f","average","3","extreme",39,7.84800295857988,-2.76923076923077
"average.69acffd5ce1304cfa474a22f","average","3","middle",32,2.95372596153846,0.5
"average.69acffd5ce1304cfa474a22f","average","5","extreme",28,8.24862637362637,-0.392857142857143
"average.69acffd5ce1304cfa474a22f","average","5","middle",42,2.82188644688645,0.285714285714286
"average.69acffd5ce1304cfa474a22f","average","7","extreme",34,8.11114253393665,2.08823529411765
"average.69acffd5ce1304cfa474a22f","average","7","middle",33,2.72392191142191,0.454545454545454
"average.69af386aa115c4cb66894fb8","average","3","extreme",38,7.90191387559809,4.18421052631579
"average.69af386aa115c4cb66894fb8","average","3","middle",30,2.63030303030303,3.2
"average.69af386aa115c4cb66894fb8","average","5","extreme",29,8.12382445141066,4.10344827586207
"average.69af386aa115c4cb66894fb8","average","5","middle",37,2.80712530712531,-1.81081081081081
"average.69af386aa115c4cb66894fb8","average","7","extreme",31,8.2683284457478,6.38709677419355
"average.69af386aa115c4cb66894fb8","average","7","middle",33,2.83057851239669,1
"average.69b4b502fec38544c443c643","average","3","extreme",31,7.77897823738231,0
"average.69b4b502fec38544c443c643","average","3","middle",38,2.42105263157895,0.157894736842105
"average.69b4b502fec38544c443c643","average","5","extreme",36,8.51049973418395,2.11111111111111
"average.69b4b502fec38544c443c643","average","5","middle",34,2.85294117647059,0.823529411764706
"average.69b4b502fec38544c443c643","average","7","extreme",36,7.99774056353004,2.38888888888889
"average.69b4b502fec38544c443c643","average","7","middle",34,3.09301998311286,0.735294117647059
"average.69b702926fc53d9dd8eeaa52","average","3","extreme",27,8.21872816212439,1.7037037037037
"average.69b702926fc53d9dd8eeaa52","average","3","middle",43,2.53268977621764,0.790697674418605
"average.69b702926fc53d9dd8eeaa52","average","5","extreme",42,7.88230008984726,2.61904761904762
"average.69b702926fc53d9dd8eeaa52","average","5","middle",28,1.88342318059299,0.5
"average.69b702926fc53d9dd8eeaa52","average","7","extreme",34,8.23362930077691,-1.79411764705882
"average.69b702926fc53d9dd8eeaa52","average","7","middle",38,3.74230387288977,-1.02631578947368
"average.69b885c83f7ae2b8458c6624","average","3","extreme",35,8.41690962099125,-2.97142857142857
"average.69b885c83f7ae2b8458c6624","average","3","middle",31,2.78999341672153,0.516129032258065
"average.69b885c83f7ae2b8458c6624","average","5","extreme",29,7.98099929627023,-2.20689655172414
"average.69b885c83f7ae2b8458c6624","average","5","middle",37,3.01213458356315,-1.7027027027027
"average.69b885c83f7ae2b8458c6624","average","7","extreme",35,8.04431486880467,-0.828571428571428
"average.69b885c83f7ae2b8458c6624","average","7","middle",29,2.56650246305419,0.586206896551725
"average.69b8c2e2a791bd09e0041dd7","average","3","extreme",29,8.01330049261084,0.862068965517241
"average.69b8c2e2a791bd09e0041dd7","average","3","middle",39,2.42942612942613,1.92307692307692
"average.69b8c2e2a791bd09e0041dd7","average","5","extreme",43,8.33565891472868,3.34883720930233
"average.69b8c2e2a791bd09e0041dd7","average","5","middle",28,3.17857142857143,2.03571428571429
"average.69b8c2e2a791bd09e0041dd7","average","7","extreme",31,7.91136712749616,3.19354838709677
"average.69b8c2e2a791bd09e0041dd7","average","7","middle",40,2.87047619047619,2.525
"average.69b9174a05fa2db6d0a8b4ff","average","3","extreme",43,7.93300110741971,-1.34883720930233
"average.69b9174a05fa2db6d0a8b4ff","average","3","middle",29,2.67832512315271,-1.24137931034483
"average.69b9174a05fa2db6d0a8b4ff","average","5","extreme",32,8.22946428571429,0.90625
"average.69b9174a05fa2db6d0a8b4ff","average","5","middle",39,2.78302808302808,3.97435897435897
"average.69b9174a05fa2db6d0a8b4ff","average","7","extreme",29,8.21100164203613,3.31034482758621
"average.69b9174a05fa2db6d0a8b4ff","average","7","middle",38,2.88295739348371,0.81578947368421
"average.69bb5d0e58b8b38af6ea30eb","average","3","extreme",33,7.93333333333333,-0.666666666666667
"average.69bb5d0e58b8b38af6ea30eb","average","3","middle",38,2.33007518796992,-0.263157894736842
"average.69bb5d0e58b8b38af6ea30eb","average","5","extreme",38,8.00225563909774,-0.0526315789473685
"average.69bb5d0e58b8b38af6ea30eb","average","5","middle",32,2.67053571428571,0.21875
"average.69bb5d0e58b8b38af6ea30eb","average","7","extreme",32,8.31160714285714,3.25
"average.69bb5d0e58b8b38af6ea30eb","average","7","middle",37,3.34285714285714,1.27027027027027
"average.69bc4a5a75e354d36da3b4df","average","3","extreme",36,8.34428418803419,-0.666666666666667
"average.69bc4a5a75e354d36da3b4df","average","3","middle",33,2.9634324009324,-1.72727272727273
"average.69bc4a5a75e354d36da3b4df","average","5","extreme",36,8.21661324786325,0.527777777777777
"average.69bc4a5a75e354d36da3b4df","average","5","middle",32,2.75661057692308,1.59375
"average.69bc4a5a75e354d36da3b4df","average","7","extreme",27,8.00730056980057,0.37037037037037
"average.69bc4a5a75e354d36da3b4df","average","7","middle",44,2.69558566433566,2.11363636363636
"average.69bdd52e962f286c3349b154","average","3","extreme",35,7.77964959568733,2.4
"average.69bdd52e962f286c3349b154","average","3","middle",34,2.73973362930078,1
"average.69bdd52e962f286c3349b154","average","5","extreme",36,8.2625786163522,3.66666666666667
"average.69bdd52e962f286c3349b154","average","5","middle",36,2.92426624737945,0.944444444444445
"average.69bdd52e962f286c3349b154","average","7","extreme",32,8.29923349056604,4.03125
"average.69bdd52e962f286c3349b154","average","7","middle",39,2.77975326560232,0.769230769230769
"average.69c07518ef8c7765906f4e89","average","3","extreme",36,8.04674145299145,-0.777777777777778
"average.69c07518ef8c7765906f4e89","average","3","middle",33,2.39903846153846,0.363636363636364
"average.69c07518ef8c7765906f4e89","average","5","extreme",33,8.1368006993007,-0.121212121212121
"average.69c07518ef8c7765906f4e89","average","5","middle",39,2.7306459566075,1.15384615384615
"average.69c07518ef8c7765906f4e89","average","7","extreme",34,8.03902714932127,3.14705882352941
"average.69c07518ef8c7765906f4e89","average","7","middle",33,3.24723193473193,1.36363636363636
"average.69c19681729c357296460f3d","average","3","extreme",36,8.20181674565561,-3.52777777777778
"average.69c19681729c357296460f3d","average","3","middle",36,2.91535018430753,-1.94444444444444
"average.69c19681729c357296460f3d","average","5","extreme",30,8.16303317535545,-0.9
"average.69c19681729c357296460f3d","average","5","middle",41,2.78753901283089,-0.24390243902439
"average.69c19681729c357296460f3d","average","7","extreme",37,8.04329447931344,-0.810810810810811
"average.69c19681729c357296460f3d","average","7","middle",31,2.56275798807522,1.45161290322581
"average.69c1aaedff8c0b25b7df1d32","average","3","extreme",35,8.05553319919517,-3.85714285714286
"average.69c1aaedff8c0b25b7df1d32","average","3","middle",35,2.75090543259557,0.971428571428571
"average.69c1aaedff8c0b25b7df1d32","average","5","extreme",36,8.20161711006782,-4.44444444444444
"average.69c1aaedff8c0b25b7df1d32","average","5","middle",36,2.46504955659885,-0.166666666666667
"average.69c1aaedff8c0b25b7df1d32","average","7","extreme",35,8.09148222669349,-1.45714285714286
"average.69c1aaedff8c0b25b7df1d32","average","7","middle",36,3.12545644235785,-1.02777777777778
"experience.558955ebfdf99b6bd06016c9","experience","3","extreme",44,8.4969696969697,-2.54545454545454
"experience.558955ebfdf99b6bd06016c9","experience","3","middle",24,3.63055555555556,0.5
"experience.558955ebfdf99b6bd06016c9","experience","5","extreme",39,8.03223443223443,-0.769230769230769
"experience.558955ebfdf99b6bd06016c9","experience","5","middle",32,3.24494047619048,-1.75
